Question	Answer	Source	Metadata
How can I visit my child?	Our staff would love to help you plan your trip, at least four months before your visit. To ensure the safety of both you and your sponsored child, we'll need to know the number of visitors who are, or will be, age 18 or older at the time of your trip. All adult visitors will need to complete and return three forms before the visit, for approval. After that, we'll work with you to help everyone have an incredible experience! You can get in touch with a ChildFund team member here to start planning your trip by calling 1.800.776.6767 or by sending an email to Questions@ChildFund.org.	new.tsv	
Can I visit my sponsored child?	Our staff would love to help you plan your trip, at least four months before your visit. To ensure the safety of both you and your sponsored child, we'll need to know the number of visitors who are, or will be, age 18 or older at the time of your trip. All adult visitors will need to complete and return three forms before the visit, for approval. After that, we'll work with you to help everyone have an incredible experience! You can get in touch with a ChildFund team member here to start planning your trip by calling 1.800.776.6767 or by sending an email to Questions@ChildFund.org.	new.tsv	
Can I visit?	Our staff would love to help you plan your trip, at least four months before your visit. To ensure the safety of both you and your sponsored child, we'll need to know the number of visitors who are, or will be, age 18 or older at the time of your trip. All adult visitors will need to complete and return three forms before the visit, for approval. After that, we'll work with you to help everyone have an incredible experience! You can get in touch with a ChildFund team member here to start planning your trip by calling 1.800.776.6767 or by sending an email to Questions@ChildFund.org.	new.tsv	
How can I volunteer?	I'm excited that you want to volunteer with us! Check out our [website](https://www.childfund.org/volunteers/) to learn more about our current volunteer opportunities.	new.tsv	
where can i volunteer	I'm excited that you want to volunteer with us! Check out our [website](https://www.childfund.org/volunteers/) to learn more about our current volunteer opportunities.	new.tsv	
volunteer opportunities	I'm excited that you want to volunteer with us! Check out our [website](https://www.childfund.org/volunteers/) to learn more about our current volunteer opportunities.	new.tsv	
how do i become a volunteer	I'm excited that you want to volunteer with us! Check out our [website](https://www.childfund.org/volunteers/) to learn more about our current volunteer opportunities.	new.tsv	
I want to volunteer	I'm excited that you want to volunteer with us! Check out our [website](https://www.childfund.org/volunteers/) to learn more about our current volunteer opportunities.	new.tsv	
volunteer	I'm excited that you want to volunteer with us! Check out our [website](https://www.childfund.org/volunteers/) to learn more about our current volunteer opportunities.	new.tsv	
can i volunteer	You sure can! I'm excited that you want to volunteer with us! Check out our [website](https://www.childfund.org/volunteers/) to learn more about our current volunteer opportunities.	new.tsv	
Can I speak to a human?	Sure thing! I try to help, but I know I'm just a bot and I can't do all that a human can. You can get in touch with a ChildFund team member [here](https://www.messenger.com/t/ChildFundInternational). Thanks for your patience, and more importantly for your support!	new.tsv	
Can I talk to someone?	Sure thing! I try to help, but I know I'm just a bot and I can't do all that a human can. You can get in touch with a ChildFund team member [here](https://www.messenger.com/t/ChildFundInternational). Thanks for your patience, and more importantly for your support!	new.tsv	
Talk to someone	Sure thing! I try to help, but I know I'm just a bot and I can't do all that a human can. You can get in touch with a ChildFund team member [here](https://www.messenger.com/t/ChildFundInternational). Thanks for your patience, and more importantly for your support!	new.tsv	
Talk to a person	Sure thing! I try to help, but I know I'm just a bot and I can't do all that a human can. You can get in touch with a ChildFund team member [here](https://www.messenger.com/t/ChildFundInternational). Thanks for your patience, and more importantly for your support!	new.tsv	
Talk to a human	Sure thing! I try to help, but I know I'm just a bot and I can't do all that a human can. You can get in touch with a ChildFund team member [here](https://www.messenger.com/t/ChildFundInternational). Thanks for your patience, and more importantly for your support!	new.tsv	
Speak to a person	Sure thing! I try to help, but I know I'm just a bot and I can't do all that a human can. You can get in touch with a ChildFund team member [here](https://www.messenger.com/t/ChildFundInternational). Thanks for your patience, and more importantly for your support!	new.tsv	
I canceled but money is still coming out.	Understood. We'd like you to reach out to a ChildFund team member by clicking [here](https://www.messenger.com/t/ChildFundInternational) so that they may better assist you. Thanks for your patience, and more importantly for your support!	new.tsv	
Angry	Understood. We'd like you to reach out to a ChildFund team member by clicking [here](https://www.messenger.com/t/ChildFundInternational) so that they may better assist you. Thanks for your patience, and more importantly for your support!	new.tsv	
Upset	Understood. We'd like you to reach out to a ChildFund team member by clicking [here](https://www.messenger.com/t/ChildFundInternational) so that they may better assist you. Thanks for your patience, and more importantly for your support!	new.tsv	
Stop auto payment.	Understood. We'd like you to reach out to a ChildFund team member by clicking [here](https://www.messenger.com/t/ChildFundInternational) so that they may better assist you. Thanks for your patience, and more importantly for your support!	new.tsv	
human	You can get in touch with a ChildFund team member [here](https://www.messenger.com/t/ChildFundInternational). Thanks for your patience, and more importantly for your support!	new.tsv	
person	You can get in touch with a ChildFund team member [here](https://www.messenger.com/t/ChildFundInternational). Thanks for your patience, and more importantly for your support!	new.tsv	
customer service	You can get in touch with a ChildFund team member [here](https://www.messenger.com/t/ChildFundInternational). Thanks for your patience, and more importantly for your support!	new.tsv	
Can I speak with a real person?	Certainly! I try to help, but I know I'm just a bot and I can't do all that a human can. You can get in touch with a ChildFund team member [here](https://www.messenger.com/t/ChildFundInternational). Thanks for your patience, and more importantly for your support!	new.tsv	
I want to speak to someone about my bill	Certainly! I try to help, but I know I'm just a bot and I can't do all that a human can. You can get in touch with a ChildFund team member [here](https://www.messenger.com/t/ChildFundInternational). Thanks for your patience, and more importantly for your support!	new.tsv	
What exactly does ChildFund do?	Good question! ChildFund's efforts to help and protect children stretch far and wide across the globe. If you want to learn more about our work, check out our [How We Work page](childfund.org/about-us/how-we-work/).	new.tsv	
What does ChildFund do?	Good question! ChildFund's efforts to help and protect children stretch far and wide across the globe. If you want to learn more about our work, check out our [How We Work page](childfund.org/about-us/how-we-work/).	new.tsv	
Why don't some youth age out?	Many young adults do leave our sponsorship program at age 18, but we welcome sponsors to continue to support their sponsored youth if they can, whether that's helping them fund higher education or vocational training. Our team will be happy to talk with you more about your specific case if you would like! You can get in touch with a ChildFund team member here.	new.tsv	
Why don't we work in the United States?	As a matter of fact, we do work in the United States! You can find more information about our U.S. programs [here](childfund.org/United-States/).	new.tsv	
Why aren't you in the US?	As a matter of fact, we do work in the United States! You can find more information about our U.S. programs [here](childfund.org/United-States/).	new.tsv	
Can I mail my child a gift?	Definitely! Just make sure that anything you send is flat, lightweight and not fragile or able to melt. Bulky objects often create difficulties with customs officials, but a 6x9 or 8x10 envelope is fine to mail. Stickers, postcards or coloring book pages are great items to mail. Your sponsored child will be thrilled to get a present from you!	new.tsv	
What can I mail my sponsored child?	Make sure that anything you send is flat, lightweight and not fragile or able to melt. Bulky objects often create difficulties with customs officials, but a 6x9 or 8x10 envelope is fine to mail. Stickers, postcards or coloring book pages are great items to mail. Your sponsored child will be thrilled to get a present from you!	new.tsv	
What items can I mail my sponsored child?	Make sure that anything you send is flat, lightweight and not fragile or able to melt. Bulky objects often create difficulties with customs officials, but a 6x9 or 8x10 envelope is fine to mail. Stickers, postcards or coloring book pages are great items to mail. Your sponsored child will be thrilled to get a present from you!	new.tsv	
What is the CEO's Salary?	The salary of our CEO is comparable to that of CEOs of other international nonprofits. One thing to consider is that these CEOs are running multimillion dollar international operations that aim to change the world and bring a wealth of experience and knowledge to the position. For more information about the compensation of CEOs in the charity world, [take a look](http://bit.ly/1nP5lbe) at Charity Navigator's report.	new.tsv	
What is Anne Goddard's salary?	The salary of our CEO is comparable to that of CEOs of other international nonprofits. One thing to consider is that these CEOs are running multimillion dollar international operations that aim to change the world and bring a wealth of experience and knowledge to the position. For more information about the compensation of CEOs in the charity world, [take a look](http://bit.ly/1nP5lbe) at Charity Navigator's report.	new.tsv	
How much does the president make?	The salary of our CEO is comparable to that of CEOs of other international nonprofits. One thing to consider is that these CEOs are running multimillion dollar international operations that aim to change the world and bring a wealth of experience and knowledge to the position. For more information about the compensation of CEOs in the charity world, [take a look](http://bit.ly/1nP5lbe) at Charity Navigator's report.	new.tsv	
I signed up at a concert and registered online, so why don't I see my sponsorship?	Awesome! Thanks for signing up to sponsor a child! It takes 5 to10 business days for your sponsorship to be set up, so please allow some time before your information will appear online. If you have any more questions or issues, you can get in touch with a ChildFund team member [here](https://m.me/childfundbot).	new.tsv	
What happens if my child leaves ChildFund's programs?	We'll let you know ahead of time when your child is leaving the program and, hopefully, moving on to bigger and better things. We always do our best to make sure you have time to say goodbye or figure out other ways to keep in touch. We'll also propose another child for you to sponsor, or you can choose another child to sponsor.	new.tsv	
What happens if my kid leaves ChildFund's programs?	We'll let you know ahead of time when your child is leaving the program and, hopefully, moving on to bigger and better things. We always do our best to make sure you have time to say goodbye or figure out other ways to keep in touch. We'll also propose another child for you to sponsor, or you can choose another child to sponsor.	new.tsv	
What happens if my kid leaves ChildFund?	We'll let you know ahead of time when your child is leaving the program and, hopefully, moving on to bigger and better things. We always do our best to make sure you have time to say goodbye or figure out other ways to keep in touch. We'll also propose another child for you to sponsor, or you can choose another child to sponsor.	new.tsv	
What happens if my kid isn't in ChildFund anymore?	We'll let you know ahead of time when your child is leaving the program and, hopefully, moving on to bigger and better things. We always do our best to make sure you have time to say goodbye or figure out other ways to keep in touch. We'll also propose another child for you to sponsor, or you can choose another child to sponsor.	new.tsv	
What do I do if my kid leaves ChildFund programs?	We'll let you know ahead of time when your child is leaving the program and, hopefully, moving on to bigger and better things. We always do our best to make sure you have time to say goodbye or figure out other ways to keep in touch. We'll also propose another child for you to sponsor, or you can choose another child to sponsor.	new.tsv	
tell me about sponsorship	When you become a ChildFund sponsor, you help a child connect with resources and opportunities they need and deserve. Your sponsorship helps protect children's rights to education, food, healthcare, and other necessities. And when kids are better off, they make their families and communities stronger too. You can learn more about the impact you can make through sponsorship [here](http://bit.ly/2lxeEO7).	new.tsv	
What are the benefits of sponsorship?	There are a lot of benefits of sponsorship, but I'll try to keep it short! Your sponsored child will benefit from having access to programs that help her or him grow up safe, healthy and educated. As a sponsor, you'll receive ongoing correspondence from your sponsored child in the form of a letter. At ChildFund, helping other people makes us feel happy and fulfilled, and we think's a huge benefit for our sponsors, too! You and your sponsored child will benefit from the connection and relationship you'll have the chance to create an experience that can be rewarding and life changing for you both. Learn more about sponsorship [here](http://bit.ly/2lxeEO7).	new.tsv	
What tangible benefits does my child receive through sponsorship?	Good question! We collaborate with local organizations in all the communities where we work to find out what specific services people living there need. Usually, these services include projects that promote access to health care, safe water, nutrition, education and training programs. Since I don't know your sponsored child, I can't give you exact details, but you'll learn the specifics of our work in your sponsored child's community through annual progress reports and direct communication from the child!	new.tsv	
What is the difference between sponsorship funds and direct gifts to my child?	Good question! Sponsorship funds go to local partner organizations in the communities where we work, so that money goes toward the specific needs of your sponsored child's community, like helping to build a school or upgrading a water source that your sponsored child uses every day. A direct gift gets changed into the right currency and then goes to the child and his or her family to use, so families might buy shoes for their child, food or household furniture or anything they may need at the time!	new.tsv	
How long does my sponsorship last?	Your sponsorship lasts as long as you keep up your monthly giving and the child stays in our programs and in a community where we work. Most children graduate from our programs between the ages of 18 and 24, depending on whether or not they stay in our programs or continue their education. If a child moves away from his local community, gets married or stops participating in our programs, we may have to prematurely end the child's enrollment.	new.tsv	
What is child sponsorship?	That's an important question, and I'm glad you asked. When you become a ChildFund sponsor, you help fight poverty by giving a child a chance at a life they deserve. When children have access to better opportunities, they make their families and communities stronger, too. Through our local partners and with the help of parents, teachers and local governments, your sponsorship helps protect children's rights to education, food, clean water, health care and other necessities. Sponsorship is a relationship, a connection, a way to be a global citizen. We love it, and we think you will, too.	new.tsv	
How does sponsorship work?	That's an important question, and I'm glad you asked. When you become a ChildFund sponsor, you help fight poverty by giving a child a chance at a life they deserve. When children have access to better opportunities, they make their families and communities stronger, too. Through our local partners and with the help of parents, teachers and local governments, your sponsorship helps protect children's rights to education, food, clean water, health care and other necessities. Sponsorship is a relationship, a connection, a way to be a global citizen. We love it, and we think you will, too.	new.tsv	
Where can I sponsor a child?	You can sponsor a child in Africa, Asia, North America and South America. Check out our map and learn more about the specific countries [where we work](http://bit.ly/2I8dUOA)	new.tsv	
How do you sponsor a child?	Great question! All you need to do is follow [this link](http://bit.ly/2lxeEO7) to get started. I'm here if you need any other questioned answered!	new.tsv	
i want to sponsor a child	That's great! To get started, we invite you to click [here](http://bit.ly/2lxeEO7) so you can learn more about the children you can sponsor.	new.tsv	
I want to sponsor	That's great! To get started, we invite you to click [here](http://bit.ly/2lxeEO7) so you can learn more about the children you can sponsor.	new.tsv	
want to sponsor	That's great! To get started, we invite you to click [here](http://bit.ly/2lxeEO7) so you can learn more about the children you can sponsor.	new.tsv	
I want to sponsor but want more information	No problem For more info, we invite you to click [here](http://bit.ly/2q3A5MU) so you can learn more about becoming a sponsor.	new.tsv	
I want to sponsor but need more info	No problem For more info, we invite you to click [here](http://bit.ly/2q3A5MU) so you can learn more about becoming a sponsor.	new.tsv	
i want to sponsor but want more information	No problem For more info, we invite you to click [here](http://bit.ly/2q3A5MU) so you can learn more about becoming a sponsor.	new.tsv	
How does ChildFund work?	Good question! Right now, 570 million children are living in extreme poverty. That means their families can't always afford basic needs like food and water, or basic rights like health care and education. Because of their circumstances, these children are also more vulnerable to child protection issues like violence, child labor, and child marriage. We work with local partner organizations, focusing on the specific developmental and protection needs of children at each stage of life. And we make sure our programs and services are tailored to address the unique needs of each community, helping to create positive long term change and opportunities for children to break free from the cycle of poverty and lead fulfilling lives, as we all deserve. Please take a look at our [website](https://www.childfund.org) to learn more details about our work.	new.tsv	
How can I make a donation?	I'm happy to hear that you are interested in making a donation that will help change the lives of many children in need. You can click [here](http://bit.ly/1t9VsUW) to learn more about various ways to donate through ChildFund.	new.tsv	
Where can I sponsor a child?	You can sponsor a child in Africa, Asia, North America and South America. [Check out](http://bit.ly/2I8dUOA) our map and learn more about the specific countries where we work.	new.tsv	
How do you sponsor a child?	Great question! All you need to do is follow this [link](http://bit.ly/2lxeEO7) to get started. I'm here if you need any other questioned answered.	new.tsv	
i want to sponsor a child	That's great! To get started, we invite you to [click here](http://bit.ly/2lxeEO7) so you can learn more about the children you can sponsor.	new.tsv	
be a sponsor	That's great! To get started, we invite you to [click here](http://bit.ly/2lxeEO7) so you can learn more about the children you can sponsor.	new.tsv	
want to sponsor	That's great! To get started, we invite you to [click here](http://bit.ly/2lxeEO7) so you can learn more about the children you can sponsor.	new.tsv	
sponsor	That's great! To get started, we invite you to [click here](http://bit.ly/2lxeEO7) so you can learn more about the children you can sponsor.	new.tsv	
become member	That's great! To get started, we invite you to [click here](http://bit.ly/2lxeEO7) so you can learn more about the children you can sponsor.	new.tsv	
I want to support ChildFund.	That's great! To get started, we invite you to [click here](http://bit.ly/2lxeEO7) so you can learn more about the children you can sponsor.	new.tsv	
I want to make a difference.	That's great! To get started, we invite you to [click here](http://bit.ly/2lxeEO7) so you can learn more about the children you can sponsor.	new.tsv	
I want to make an impact	That's great! To get started, we invite you to [click here](http://bit.ly/2lxeEO7) so you can learn more about the children you can sponsor.	new.tsv	
How can I make a donation?	I'm happy to hear that you are interested in making a donation that will help change the lives of many children in need. You can [click here](http://bit.ly/2lxeEO7) to learn more about the various ways to donate through ChildFund.	new.tsv	
How much postage is required to send a letter to my child?	Please visit your local post office for an exact answer, because postage prices vary. And make sure anything you send is flat, lightweight and not fragile or able to melt. Bulky objects often create difficulties with customs officials, but a 6x9 or 8x10 envelope is fine to mail. Your sponsored child will be thrilled to get a present from you!	Editorial	
hi	Hi, I'm Chas, ChildFund's virtual chat assistant, at your service! How can I help you today?	Editorial	
assistance	Hi, I'm Chas, ChildFund's virtual chat assistant, at your service! How can I help you today?	Editorial	
help me	Hi, I'm Chas, ChildFund's virtual chat assistant, at your service! How can I help you today?	Editorial	
help please	Hi, I'm Chas, ChildFund's virtual chat assistant, at your service! How can I help you today?	Editorial	
need help	Hi, I'm Chas, ChildFund's virtual chat assistant, at your service! How can I help you today?	Editorial	
help	Hi, I'm Chas, ChildFund's virtual chat assistant, at your service! How can I help you today?	Editorial	
Hello	Hi, I'm Chas, ChildFund's virtual chat assistant, at your service! How can I help you today?	Editorial	
Howdy	Hi, I'm Chas, ChildFund's virtual chat assistant, at your service! How can I help you today?	Editorial	
Hai	Hi, I'm Chas, ChildFund's virtual chat assistant, at your service! How can I help you today?	Editorial	
Hola	Hi, I'm Chas, ChildFund's virtual chat assistant, at your service! How can I help you today?	Editorial	
Hey	Hi, I'm Chas, ChildFund's virtual chat assistant, at your service! How can I help you today?	Editorial	
What's up	Hi, I'm Chas, ChildFund's virtual chat assistant, at your service! How can I help you today?	Editorial	
Whassup	Hi, I'm Chas, ChildFund's virtual chat assistant, at your service! How can I help you today?	Editorial	
Yo	Hi, I'm Chas, ChildFund's virtual chat assistant, at your service! How can I help you today?	Editorial	
Hello?	Hi, I'm Chas, ChildFund's virtual chat assistant, at your service! How can I help you today?	Editorial	
Can you help me?	I'll do my best! I'm Chas, ChildFund's virtual chat assistant, at your service! How can I help you today?	Editorial	
can you help	I'll do my best! I'm Chas, ChildFund's virtual chat assistant, at your service! How can I help you today?	Editorial	
Who are you?	I'm Chas, the ChildFund International chat assistant. What can I do for you?	Editorial	
What are u?	I'm Chas, the ChildFund International chat assistant. What can I do for you?	Editorial	
Who are u?	I'm Chas, the ChildFund International chat assistant. What can I do for you?	Editorial	
What is your name?	I'm Chas! It's short for Chat Assistant. What can I do for you?	Editorial	
Name	I'm Chas! It's short for Chat Assistant. What can I do for you?	Editorial	
What are you called?	I'm Chas! It's short for Chat Assistant. What can I do for you?	Editorial	
What should I call you?	I'm Chas! It's short for Chat Assistant. What can I do for you?	Editorial	
What name do you go by?	I'm Chas! It's short for Chat Assistant. What can I do for you?	Editorial	
Bye	Bye-bye!	Editorial	
Ok bye	Bye-bye!	Editorial	
Later	Bye-bye!	Editorial	
Peace	Bye-bye!	Editorial	
Goodbye	Bye-bye!	Editorial	
Ok	: )	Editorial	
You're welcome.	: )	Editorial	
You are welcome	: )	Editorial	
Gotcha	: )	Editorial	
Understood	: )	Editorial	
Good	: )	Editorial	
Thank you	: )	Editorial	
Thanks	: )	Editorial	
Appreciate it	: )	Editorial	
Nice one	: )	Editorial	
Okay	: )	Editorial	
Right on	: )	Editorial	
OK, no problem!	: )	Editorial	
No problem!	: )	Editorial	
Who is this?	This is Chas! I am ChildFund's virtual chat assistant. How can I help you?	Editorial	
How can I help a child in need?	Good question! We think a great way to help children in need is to sponsor a child. You can learn more about sponsorship [here](http://bit.ly/2lxeEO7).	Editorial	
How can I help kids?	Good question! We think a great way to help children in need is to sponsor a child. You can learn more about sponsorship [here](http://bit.ly/2lxeEO7).	Editorial	
What can I do to help?	Good question! We think a great way to help children in need is to sponsor a child. You can learn more about sponsorship [here](http://bit.ly/2lxeEO7).	Editorial	
Can you show me how to help?	Good question! We think a great way to help children in need is to sponsor a child. You can learn more about sponsorship [here](http://bit.ly/2lxeEO7).	Editorial	
How can I help a child in poverty?	Good question! We think a great way to help children in need is to sponsor a child. You can learn more about sponsorship [here](http://bit.ly/2lxeEO7).	Editorial	
How can I help?	Good question! We think a great way to help children in need is to sponsor a child. You can learn more about sponsorship [here](http://bit.ly/2lxeEO7).	Editorial	
How can I help protect a child?	Good question! We think a great way to help children in need is to sponsor a child. You can learn more about sponsorship [here](http://bit.ly/2lxeEO7).	Editorial	
Are you a real person?	No, but I was created by humans to help answer your questions!	Editorial	
are you real	No, but I was created by humans to help answer your questions!	Editorial	
Are you a person?	No, but I was created by humans to help answer your questions!	Editorial	
Are you human?	No, but I was created by humans to help answer your questions!	Editorial	
What are the other options for helping a child in need?	Thanks for asking! There are many other ways to help. We have many donation options, and you can see which one is best for you [here](http://bit.ly/1t9VsUW).	Editorial	
How else can I help?	Thanks for asking! There are many other ways to help. We have many donation options, and you can see which one is best for you [here](http://bit.ly/1t9VsUW).	Editorial	
How else can I help a child?	Thanks for asking! There are many other ways to help. We have many donation options, and you can see which one is best for you [here](http://bit.ly/1t9VsUW).	Editorial	
How else can I help children?	Thanks for asking! There are many other ways to help. We have many donation options, and you can see which one is best for you [here](http://bit.ly/1t9VsUW).	Editorial	
How else can I help kids?	Thanks for asking! There are many other ways to help. We have many donation options, and you can see which one is best for you [here](http://bit.ly/1t9VsUW).	Editorial	
How else can I help a kid?	Thanks for asking! There are many other ways to help. We have many donation options, and you can see which one is best for you [here](http://bit.ly/1t9VsUW).	Editorial	
I want to donate	Thanks for asking! There are many other ways to help. We have many donation options, and you can see which one is best for you [here](http://bit.ly/1t9VsUW).	Editorial	
donate	We have many donation options, and you can see which one is best for you [here](http://bit.ly/1t9VsUW).	Editorial	
donation	We have many donation options, and you can see which one is best for you [here](http://bit.ly/1t9VsUW).	Editorial	
make donation	We have many donation options, and you can see which one is best for you [here](http://bit.ly/1t9VsUW).	Editorial	
make donate	We have many donation options, and you can see which one is best for you [here](http://bit.ly/1t9VsUW).	Editorial	
contribution	We have many donation options, and you can see which one is best for you [here](http://bit.ly/1t9VsUW).	Editorial	
I want to make a donation	Excellent! There are several ways to help. We have many donation options, and you can see which one is best for you [here](http://bit.ly/1t9VsUW).	Editorial	
make a donation	Excellent! There are several ways to help. We have many donation options, and you can see which one is best for you [here](http://bit.ly/1t9VsUW).	Editorial	
I'd like to donate	Excellent! There are several ways to help. We have many donation options, and you can see which one is best for you [here](http://bit.ly/1t9VsUW).	Editorial	
I want to give money	Excellent! There are several ways to help. We have many donation options, and you can see which one is best for you [here](http://bit.ly/1t9VsUW).	Editorial	
I want to give to ChildFund	Excellent! There are several ways to help. We have many donation options, and you can see which one is best for you [here](http://bit.ly/1t9VsUW).	Editorial	
sponsor	Sponsorship is $33 per month. You can learn more [here](http://bit.ly/2lxeEO7).	Editorial	
sponsorship	Sponsorship is $33 per month. You can learn more [here](http://bit.ly/2lxeEO7).	Editorial	
sponsorship info	Sponsorship is $33 per month. You can learn more [here](http://bit.ly/2lxeEO7).	Editorial	
What would a person pay?	Sponsorship is $33 per month. You can learn more [here](http://bit.ly/2lxeEO7).	Editorial	
What is the cost?	Sponsorship is $33 per month. You can learn more [here](http://bit.ly/2lxeEO7).	Editorial	
How much does it cost?	Sponsorship is $33 per month. You can learn more [here](http://bit.ly/2lxeEO7).	Editorial	
sponsorship cost	Sponsorship is $33 per month. You can learn more [here](http://bit.ly/2lxeEO7).	Editorial	
sponsorship price	Sponsorship is $33 per month. You can learn more [here](http://bit.ly/2lxeEO7).	Editorial	
cost	Sponsorship is $33 per month. You can learn more [here](http://bit.ly/2lxeEO7).	Editorial	
price	Sponsorship is $33 per month. You can learn more [here](http://bit.ly/2lxeEO7).	Editorial	
How much does child sponsorship cost?	Sponsorship is $33 per month. You can learn more [here](http://bit.ly/2lxeEO7).	Editorial	
What is the price of sponsorship?	Sponsorship is $33 per month. You can learn more [here](http://bit.ly/2lxeEO7).	Editorial	
How much is sponsorship?	Sponsorship is $33 per month. You can learn more [here](http://bit.ly/2lxeEO7).	Editorial	
How much to sponsor?	Sponsorship is $33 per month. You can learn more [here](http://bit.ly/2lxeEO7).	Editorial	
What's the price for sponsorship?	Sponsorship is $33 per month. You can learn more [here](http://bit.ly/2lxeEO7).	Editorial	
What do you do?	I can provide answers to questions about ChildFund and links to pages on our website.	Editorial	
How can you help me?	I can provide answers to questions about ChildFund and links to pages on our website.	Editorial	
How does ChildFund help?	ChildFund partners with local organizations to help children around the world gain access to resources that will help them reach their full potential at every age and create lasting change in their communities. You can learn more about us [here](www.childfund.org/about-us/who-we-are/).	Editorial	
Is ChildFund for the children?	ChildFund partners with local organizations to help children around the world gain access to resources that will help them reach their full potential at every age and create lasting change in their communities. You can learn more about us [here](https://www.childfund.org/about-us/who-we-are/).	Editorial	
How does ChildFund help kids?	ChildFund partners with local organizations to help children around the world gain access to resources that will help them reach their full potential at every age and create lasting change in their communities. You can learn more about us [here](https://www.childfund.org/about-us/who-we-are/).	Editorial	
How does this work?	ChildFund partners with local organizations to help children around the world gain access to resources that will help them reach their full potential at every age and create lasting change in their communities. You can learn more about us [here](https://www.childfund.org/about-us/who-we-are/).	Editorial	
How does it work?	ChildFund partners with local organizations to help children around the world gain access to resources that will help them reach their full potential at every age and create lasting change in their communities. You can learn more about us [here](https://www.childfund.org/about-us/who-we-are/).	Editorial	
How does ChildFund help children?	ChildFund partners with local organizations to help children around the world gain access to resources that will help them reach their full potential at every age and create lasting change in their communities. You can learn more about us [here](https://www.childfund.org/about-us/who-we-are/).	Editorial	
What do ChildFund and the Wu-Tang Clan have in common?	We're both for the children. You can learn more about our efforts [here](https://www.childfund.org/about-us/who-we-are/).	Editorial	
What does Childfund do?	ChildFund works with local partner organizations, governments, corporations, and individuals to help create the safe environments children need to thrive.	Editorial	
What is Childfund's aim?	ChildFund works with local partner organizations, governments, corporations, and individuals to help create the safe environments children need to thrive.	Editorial	
What is ChildFund?	ChildFund is an international nonprofit organization. We work to help children around the world have access to resources that will allow them to grow to reach their full potential and create lasting change in their communities. You can learn more about us [here](https://www.childfund.org/about-us/who-we-are/).	Editorial	
Who is ChildFund?	ChildFund is an international nonprofit organization. We work to help children around the world have access to resources that will allow them to grow to reach their full potential and create lasting change in their communities. You can learn more about us [here](https://www.childfund.org/about-us/who-we-are/).	Editorial	
Is this a scam?	Nope. 81.6 percent of the money we raise goes directly to programs for children. When you give to ChildFund, you can feel good your money is being used responsibly. For more on our financials, please click [here](https://www.childfund.org/about-us/accountability/).	Editorial	
scam	Us? No way. 81.6 percent of the money we raise goes directly to programs for children. When you give to ChildFund, you can feel good your money is being used responsibly. For more on our financials, please click [here](https://www.childfund.org/about-us/accountability/).	Editorial	
fraud	Us? No way. 81.6 percent of the money we raise goes directly to programs for children. When you give to ChildFund, you can feel good your money is being used responsibly. For more on our financials, please click [here](https://www.childfund.org/about-us/accountability/).	Editorial	
scheme	Us? No way. 81.6 percent of the money we raise goes directly to programs for children. When you give to ChildFund, you can feel good your money is being used responsibly. For more on our financials, please click [here](https://www.childfund.org/about-us/accountability/).	Editorial	
trick	Us? No way. 81.6 percent of the money we raise goes directly to programs for children. When you give to ChildFund, you can feel good your money is being used responsibly. For more on our financials, please click [here](https://www.childfund.org/about-us/accountability/).	Editorial	
fake	Us? No way. 81.6 percent of the money we raise goes directly to programs for children. When you give to ChildFund, you can feel good your money is being used responsibly. For more on our financials, please click [here](https://www.childfund.org/about-us/accountability/).	Editorial	
Are you really helping children?	Yes, we 100 percent are. We help children around the world have access to resources that will allow them to grow, reach their full potential, and create lasting change in their communities. You can learn more about us [here](https://www.childfund.org/about-us/who-we-are/).	Editorial	
Where does the money go?	81.6 percent of the money we raise goes directly to programs for children. For more on our financials, please visit [here](https://www.childfund.org/about-us/accountability/).	Editorial	
where do the funds go?	81.6 percent of the money we raise goes directly to programs for children. For more on our financials, please visit [here](https://www.childfund.org/about-us/accountability/).	Editorial	
Does the money actually go to the child?	Absolutely! 81.6 percent of the money we raise goes directly to programs for children. When you give to ChildFund, you can feel good your money is being used responsibly. For more on our financials, please visit [here](https://www.childfund.org/about-us/accountability/).	Editorial	
What do you do with the donations?	81.6 percent of the money we raise goes directly to programs for children. When you give to ChildFund, you can feel good your money is being used responsibly. For more on our financials, please visit [here](https://www.childfund.org/about-us/accountability/).	Editorial	
What happens to donations?	81.6 percent of the money we raise goes directly to programs for children. When you give to ChildFund, you can feel good your money is being used responsibly. For more on our financials, please visit [here](https://www.childfund.org/about-us/accountability/).	Editorial	
What happens to the money?	81.6 percent of the money we raise goes directly to programs for children. When you give to ChildFund, you can feel good your money is being used responsibly. For more on our financials, please visit [here](https://www.childfund.org/about-us/accountability/).	Editorial	
If I give you money how much do the kids get?	81.6 percent of the money we raise goes directly to programs for children. When you give to ChildFund, you can feel good your money is being used responsibly. For more on our financials, please visit [here](https://www.childfund.org/about-us/accountability/).	Editorial	
Are the children real?	Absolutely. In 2016, we helped 17.6 million children.	Editorial	
Are the kids real?	Absolutely. In 2016, we helped 17.6 million children.	Editorial	
Are they real kids?	Absolutely. In 2016, we helped 17.6 million children.	Editorial	
Are you a Christian organization?	We used to be a strictly Christian organization but now we work with children of all faiths and welcome people of all faiths as sponsors, partners, employees and leaders here at ChildFund.	Editorial	
